Unemployment,Income inequality,FIPS,Air pollution - particulate matter,State,Population that is not proficient in English
0.117,4.757,6049,9.98,CA,0.037
0.105,,6051,11.02,CA,0.065
0.086,3.266,6051,11.02,CA,0.07
0.114,,6053,7.22,CA,0.193
0.101,4.466,6053,7.22,CA,0.187
0.078,,6055,7.55,CA,0.093
0.063,4.31,6055,7.55,CA,0.088
0.094,,6057,9.58,CA,0.014
0.077,4.478,6057,9.58,CA,0.017
0.076,,6059,7.63,CA,0.115
0.062,4.634,6059,7.63,CA,0.113
0.094,,6061,9.3,CA,0.024
0.076,4.35,6061,9.3,CA,0.025
0.147,,6063,10.38,CA,0.014
0.126,4.914,6063,10.38,CA,0.012
0.122,,6065,9.4,CA,0.09
0.103,4.549,6065,9.4,CA,0.087
0.106,,6067,8.68,CA,0.072
0.088,4.641,6067,8.68,CA,0.071
0.139,,6069,7.93,CA,0.124
0.111,4.187,6069,7.93,CA,0.111
0.12,,6071,10.42,CA,0.088
0.101,4.622,6071,10.42,CA,0.085
0.089,,6073,7.87,CA,0.08
0.075,4.793,6073,7.87,CA,0.08
0.073,,6075,7.98,CA,0.14
0.057,6.835,6075,7.98,CA,0.133
0.152,,6077,8.89,CA,0.103
0.128,4.716,6077,8.89,CA,0.102
0.081,,6079,7.46,CA,0.036
0.067,4.662,6079,7.46,CA,0.037
0.067,,6081,8.01,CA,0.089
0.054,4.559,6081,8.01,CA,0.088
0.08,,6083,7.23,CA,0.119
0.068,4.928,6083,7.23,CA,0.118
0.084,,6085,8.27,CA,0.105
0.068,4.914,6085,8.27,CA,0.103
0.111,,6087,7.68,CA,0.09
0.095,5.197,6087,7.68,CA,0.087
0.134,,6089,9.59,CA,0.014
0.109,4.57,6089,9.59,CA,0.014
0.143,,6091,10.22,CA,0.02
0.13,5.44,6091,10.22,CA,0.031
0.153,,6093,8.72,CA,0.022
0.13,4.744,6093,8.72,CA,0.019
0.101,,6095,8.1,CA,0.059
0.084,4.257,6095,8.1,CA,0.057
0.086,,6097,7.18,CA,0.063
0.067,4.476,6097,7.18,CA,0.06
0.152,,6099,9.15,CA,0.104
0.13,4.732,6099,9.15,CA,0.102
0.176,,6101,8.09,CA,0.115
0.153,4.647,6101,8.09,CA,0.109
0.139,,6103,8.94,CA,0.043
0.116,4.186,6103,8.94,CA,0.044
0.158,,6105,8.71,CA,0.002
0.128,4.669,6105,8.71,CA,0.003
0.158,,6107,10.31,CA,0.146
0.14,4.687,6107,10.31,CA,0.145
0.116,,6109,10.12,CA,0.012
0.098,4.419,6109,10.12,CA,0.013
0.09,,6111,7.67,CA,0.104
0.078,4.408,6111,7.67,CA,0.103
